	Phenotype	Top 5 Latent Factor Indices (ordered by variance component)	Top 1 Variance Component	Top 3 Variance Component	Top 5 Variance Component
1457	plavix 75mg tablet	23, 78, 49, 22, 77	16.75%	31.75%	40.55%
1458	Sitting height	5, 16, 78, 7, 79	73.34%	90.33%	94.61%
1459	iron sulphate	89, 23, 78, 49, 82	14.14%	35.27%	47.05%
1460	cipralex 5mg tablet	23, 78, 71, 49, 89	14.09%	28.18%	40.76%
1461	flixonase 50micrograms aqueous nasal spray	23, 78, 71, 49, 1	13.03%	28.03%	38.25%
1462	simvastatin	10, 89, 83, 20, 18	42.63%	54.07%	60.79%
1463	alfuzosin	89, 23, 82, 79, 78	10.08%	25.19%	34.70%
1464	hormonin tablet	82, 23, 77, 79, 25	12.05%	29.10%	41.13%
1465	lyrica 25mg capsule	23, 78, 49, 79, 16	14.87%	35.86%	46.06%
1466	imigran 50mg tablet	23, 49, 79, 78, 71	16.49%	31.41%	41.69%
1467	anusol cream	82, 23, 78, 49, 89	9.61%	25.48%	37.55%
1468	metoprolol	23, 78, 49, 82, 79	13.45%	28.91%	39.94%
1469	Weighted-mean OD in tract inferior fronto-occipital fasciculus (right)	97, 8, 0, 46, 48	15.11%	29.23%	39.21%
1470	vitamin b12 preparation	23, 49, 79, 78, 8	11.85%	27.13%	37.75%
1471	doxazosin	79, 71, 72, 8, 74	14.71%	35.33%	46.37%
1472	tears naturale eye drops	23, 78, 79, 49, 27	17.80%	37.99%	50.13%
1473	cyanocobalamin product	23, 67, 78, 59, 1	6.94%	19.31%	28.25%
1474	actonel 5mg tablet	23, 79, 27, 49, 1	14.79%	31.83%	44.19%
1475	tiotropium	27, 23, 72, 38, 77	9.01%	21.36%	29.59%
1476	ezetimibe	10, 2, 79, 45, 23	76.86%	81.02%	84.10%
1477	evorel 25 patch	23, 89, 71, 1, 78	9.70%	22.97%	34.52%
1478	nizatidine	23, 78, 49, 82, 89	15.39%	32.78%	44.26%
1479	Volume of grey matter in Intracalcarine Cortex (right)	48, 92, 62, 20, 73	14.47%	33.96%	43.78%
1480	Volume of grey matter in Intracalcarine Cortex (left)	48, 92, 62, 73, 20	13.38%	34.66%	44.90%
1481	Mean ISOVF in superior cerebellar peduncle on FA skeleton (right)	48, 23, 49, 78, 14	24.41%	38.00%	45.26%
1482	candesartan cilexetil	79, 52, 49, 78, 23	13.98%	31.47%	41.16%
1483	Mean ICVF in medial lemniscus on FA skeleton (left)	14, 20, 0, 51, 59	35.84%	54.91%	63.75%
1484	Volume of grey matter in Lateral Occipital Cortex, superior division (left)	48, 78, 23, 39, 49	84.41%	88.83%	91.01%
1485	Volume of grey matter in Lateral Occipital Cortex, inferior division (right)	48, 23, 78, 49, 27	44.08%	58.98%	65.05%
1486	senna product	59, 23, 67, 78, 22	7.21%	18.24%	28.43%
1487	Mean ISOVF in posterior limb of internal capsule on FA skeleton (right)	0, 23, 97, 49, 79	13.99%	28.96%	39.33%
1488	oxycodone hydrochloride	23, 59, 78, 89, 49	9.54%	22.76%	33.35%
1489	Mean ICVF in inferior cerebellar peduncle on FA skeleton (right)	14, 81, 20, 51, 0	28.98%	64.05%	77.00%
1490	clobetasone	23, 79, 49, 78, 81	21.71%	42.43%	53.98%
1491	hyoscine butylbromide	22, 77, 23, 59, 28	10.27%	25.65%	33.76%
1492	buscopan 10mg tablet	23, 78, 7, 79, 49	14.22%	28.83%	39.32%
1493	tranexamic acid	23, 71, 99, 0, 39	10.20%	22.63%	34.18%
1494	terbinafine	23, 71, 49, 78, 89	15.64%	30.70%	41.71%
1495	Mean ICVF in superior longitudinal fasciculus on FA skeleton (left)	81, 46, 1, 57, 27	92.67%	95.78%	97.12%
1496	nexium 20mg tablet	89, 8, 23, 79, 82	9.64%	23.65%	36.11%
1497	lisinopril+hydrochlorothiazide 10mg/12.5mg tablet	23, 78, 49, 16, 85	19.15%	36.97%	47.97%
1498	pravastatin	20, 73, 72, 23, 98	33.53%	42.07%	49.67%
1499	tacrolimus	23, 89, 82, 78, 27	10.68%	29.91%	44.40%
1500	felodipine	89, 74, 72, 23, 78	11.53%	28.86%	40.08%
1501	lecithin product	23, 8, 79, 78, 94	15.72%	30.22%	41.35%
1502	monomax xl 60mg m/r tablet	82, 89, 23, 78, 30	10.62%	23.44%	33.88%
1503	bumetanide	23, 49, 78, 79, 89	15.79%	32.68%	43.34%
1504	ismn - isosorbide mononitrate	23, 89, 49, 82, 78	10.29%	25.47%	37.51%
1505	movelat gel	23, 78, 49, 89, 41	16.63%	35.74%	42.26%
1506	movelat cream	82, 30, 25, 89, 23	13.59%	28.16%	39.21%
1507	indomethacin	23, 59, 78, 79, 49	8.57%	21.63%	30.72%
1508	inderal 10mg tablet	23, 78, 49, 79, 81	19.47%	41.45%	49.38%
1509	olanzapine	39, 23, 71, 89, 78	9.15%	23.39%	33.99%
1510	normacol granules	23, 78, 49, 89, 73	15.73%	33.72%	45.08%
1511	oil of peppermint	23, 79, 78, 49, 72	16.72%	33.44%	44.55%
1512	salamol 100micrograms inhaler	23, 78, 89, 59, 38	11.13%	28.46%	37.35%
1513	salbutamol+ipratropium 100micrograms/20micrograms inhaler	23, 78, 67, 59, 49	8.14%	20.67%	30.96%
1514	penicillin	23, 78, 49, 79, 82	21.10%	36.13%	45.30%
1515	metoclopramide	79, 23, 82, 91, 98	14.82%	30.19%	36.82%
1516	procyclidine	23, 78, 49, 16, 30	18.38%	32.92%	39.49%
1517	dexamethasone+hypromellose 0.1%/0.5% eye drops	23, 78, 49, 89, 50	16.18%	36.43%	47.67%
1518	respiratory mometasone	23, 79, 49, 82, 86	8.42%	22.09%	32.43%
1519	risperidone	23, 78, 49, 89, 16	20.07%	42.06%	52.07%
1520	cozaar-comp 50mg/12.5mg tablet	59, 23, 78, 67, 82	7.21%	20.26%	30.28%
1521	losartan potassium+hydrochlorothiazide 50mg/12.5mg tablet	23, 79, 1, 49, 78	12.10%	26.75%	35.96%
1522	pizotifen	23, 79, 49, 56, 78	10.23%	24.72%	34.38%
1523	beclomist 50micrograms nasal spray	23, 78, 49, 16, 77	21.89%	40.60%	47.25%
1524	nicorandil	79, 23, 10, 8, 78	6.89%	19.16%	29.59%
1525	paracetamol + codeine	23, 79, 22, 28, 77	7.16%	18.12%	27.26%
1526	Red blood cell (erythrocyte) count	91, 55, 40, 19, 56	96.34%	99.40%	99.60%
1527	vagifem 25mcg pessary	82, 68, 79, 30, 18	9.08%	25.90%	35.25%
1528	moxonidine	23, 49, 79, 78, 30	12.92%	31.14%	43.01%
1529	tridestra tablet	82, 78, 23, 79, 49	8.32%	22.97%	35.50%
1530	beclazone 50 inhaler	23, 39, 78, 49, 71	18.94%	33.32%	46.54%
1531	estriol product	78, 23, 89, 8, 49	10.67%	28.55%	37.53%
1532	Years of cough on most days	23, 78, 64, 49, 41	14.51%	30.94%	42.27%
1533	proctosedyl ointment	23, 78, 89, 49, 73	13.22%	31.02%	42.34%
1534	garlic product	23, 78, 49, 89, 79	13.38%	28.94%	40.40%
1535	levocetirizine	23, 77, 78, 49, 41	14.45%	28.84%	37.91%
1536	zapain caplet	23, 78, 49, 68, 77	19.74%	35.20%	42.98%
1537	airomir 100micrograms cfc-free inhaler	89, 23, 78, 82, 49	16.39%	36.60%	49.58%
1538	tamsulosin	23, 78, 72, 39, 71	12.30%	28.87%	41.08%
1539	salmeterol product	23, 79, 8, 1, 49	13.81%	30.02%	43.47%
1540	Weighted-mean L2 in tract inferior longitudinal fasciculus (left)	57, 14, 81, 46, 20	75.26%	93.62%	95.55%
1541	oramorph 10mg/5ml oral solution	23, 78, 77, 32, 82	11.05%	28.14%	38.98%
1542	salmeterol+fluticasone propionate	23, 1, 71, 78, 79	13.66%	28.69%	41.37%
1543	co-amoxiclav	23, 78, 49, 82, 89	15.55%	33.38%	43.65%
1544	mercilon tablet	23, 78, 89, 8, 73	11.04%	27.09%	37.83%
1545	cabergoline	78, 23, 49, 59, 67	7.99%	21.91%	31.24%
1546	mebeverine	23, 78, 89, 82, 79	15.23%	30.74%	41.61%
1547	dermovate cream	23, 78, 49, 79, 41	12.41%	27.14%	36.73%
1548	quinine	6, 23, 78, 52, 49	12.82%	27.30%	36.47%
1549	solifenacin	23, 39, 79, 71, 78	14.30%	27.98%	39.38%
1550	gtn 400micrograms spray	23, 78, 79, 49, 72	10.91%	24.93%	35.76%
1551	fludrocortisone	23, 78, 89, 22, 49	15.79%	31.94%	42.04%
1552	calceos chewable tablet	23, 49, 78, 79, 77	19.73%	37.33%	47.69%
1553	alverine	23, 79, 78, 49, 27	15.06%	30.79%	42.23%
1554	levothyroxine sodium	58, 20, 70, 19, 72	97.17%	97.79%	98.05%
1555	pulmicort ls 50micrograms inhaler	79, 23, 1, 49, 78	14.52%	32.71%	44.96%
1556	calcium salts	23, 78, 49, 79, 27	20.58%	36.71%	47.95%
1557	calcichew forte 2.5g chewable tablet	89, 23, 78, 38, 39	19.80%	35.42%	45.52%
1558	budesonide	1, 23, 78, 49, 27	13.10%	30.48%	39.85%
1559	climesse tablet	89, 82, 27, 78, 23	11.84%	27.49%	41.00%
1560	perindopril+indapamide	23, 77, 82, 78, 11	9.72%	26.99%	36.94%
1561	zantac 75 tablet	23, 82, 78, 27, 49	14.39%	28.33%	37.04%
1562	cipramil 10mg tablet	23, 73, 27, 78, 72	10.10%	25.97%	39.19%
1563	diclofenac sodium+misoprostol	23, 79, 49, 78, 16	17.71%	33.64%	43.41%
1564	nitrofurantoin	23, 27, 79, 30, 64	11.91%	28.31%	39.92%
1565	oestrogel 1.25g gel	59, 78, 89, 23, 67	7.74%	18.50%	28.67%
1566	trandolapril	23, 78, 27, 49, 79	13.99%	26.93%	37.84%
1567	lorazepam	23, 82, 77, 30, 78	10.82%	25.25%	36.84%
1568	priadel 200mg m/r tablet	79, 23, 72, 49, 1	10.73%	24.60%	33.46%
1569	topiramate	73, 82, 27, 23, 89	8.89%	25.15%	38.43%
1570	solpadeine tablet	82, 30, 25, 77, 38	14.88%	30.12%	41.17%
1571	Inverted temporal signal-to-noise ratio in artefact-cleaned pre-processed rfMRI	79, 23, 64, 67, 89	10.10%	26.63%	38.67%
1572	alendronate sodium	23, 78, 72, 49, 48	10.41%	27.81%	38.55%
1573	latanoprost	23, 89, 78, 49, 27	10.11%	25.96%	37.27%
1574	codeine phosphate+kaolin 10mg/3g/10ml mixture	23, 78, 73, 49, 17	17.28%	35.98%	44.96%
1575	carbimazole	23, 49, 79, 78, 71	12.33%	29.87%	41.68%
1576	salbutamol 100micrograms spacehaler	37, 23, 8, 89, 7	15.55%	32.51%	42.69%
1577	oxytetracycline	89, 77, 82, 59, 23	9.61%	25.08%	35.82%
1578	glimepiride	23, 78, 49, 16, 8	16.72%	33.16%	41.79%
1579	solpadol caplet	23, 77, 71, 68, 79	7.73%	22.24%	32.63%
1580	betahistine	23, 79, 27, 67, 49	11.88%	24.14%	32.59%
1581	nasacort 55micrograms aqueous nasal spray	23, 89, 72, 82, 78	10.82%	26.65%	36.76%
1582	coversyl plus 4mg/1.25mg tablet	82, 67, 89, 30, 38	9.11%	21.83%	32.72%
1583	carbamazepine	23, 78, 79, 49, 1	16.79%	34.38%	45.75%
1584	nifedipine	23, 78, 71, 49, 39	14.05%	26.44%	34.26%
1585	imdur 60mg durule	23, 78, 49, 16, 30	13.21%	28.97%	34.98%
1586	st john's wort/hypericum [ctsu]	72, 23, 79, 49, 38	10.32%	25.81%	34.01%
1587	leflunomide	23, 89, 78, 49, 82	14.31%	37.49%	49.01%
1588	aloe vera product	39, 23, 59, 17, 71	8.03%	21.28%	32.02%
1589	prochlorperazine	23, 79, 39, 49, 89	15.43%	28.21%	38.56%
1590	food supplement/plant/herbal extract	23, 71, 27, 78, 79	11.44%	27.29%	39.01%
1591	glyceryl trinitrate	8, 79, 23, 1, 83	9.78%	25.50%	34.14%
1592	progynova 1mg tablet	23, 78, 49, 16, 82	21.14%	39.48%	46.80%
1593	calcium carbonate+colecalciferol 1.25g/5micrograms tablet	23, 78, 49, 82, 89	13.74%	28.58%	37.82%
1594	omega-3/fish oil supplement	72, 39, 23, 78, 83	14.25%	32.11%	44.28%
1595	evening primrose oil product	23, 79, 49, 78, 89	17.56%	36.37%	44.87%
1596	hypromellose product	78, 23, 89, 73, 8	10.47%	28.14%	40.80%
1597	canesten 1% cream	23, 22, 77, 78, 27	10.35%	24.84%	34.98%
1598	ezetrol 10mg tablet	10, 23, 78, 89, 0	22.97%	39.41%	48.70%
1599	arcoxia 90mg tablet	23, 22, 59, 78, 28	10.43%	25.67%	38.79%
1600	minerals - magnesium	79, 23, 78, 71, 49	13.70%	31.11%	44.76%
1601	codipar caplet	82, 89, 30, 67, 24	8.27%	22.26%	31.98%
1602	indometacin	23, 89, 78, 49, 17	10.28%	26.89%	35.15%
1603	piriton 4mg tablet	23, 78, 79, 1, 48	17.79%	32.01%	42.03%
1604	natrilix sr 1.5mg m/r tablet	82, 77, 30, 25, 23	15.35%	29.78%	42.11%
1605	serc-8 tablet	23, 59, 78, 49, 67	11.15%	25.61%	36.34%
1606	elleste duet conti tablet	79, 89, 23, 38, 1	8.51%	21.80%	31.71%
1607	losartan	23, 52, 78, 7, 16	14.73%	31.18%	38.58%
1608	viagra 25mg tablet	23, 78, 49, 59, 79	14.22%	30.70%	38.53%
1609	viagra 50mg tablet	23, 78, 49, 73, 77	15.16%	33.58%	41.36%
1610	viagra 100mg tablet	23, 78, 49, 77, 15	14.35%	32.01%	41.05%
1611	zolmitriptan	89, 23, 0, 78, 49	11.84%	32.58%	44.56%
1612	tamoxifen	23, 78, 73, 27, 71	10.41%	29.74%	40.25%
1613	zomig 2.5mg tablet	23, 79, 78, 73, 77	14.19%	34.74%	44.55%
1614	quetiapine	79, 23, 72, 86, 49	8.82%	20.88%	29.39%
1615	duloxetine	89, 23, 78, 20, 49	13.86%	32.34%	42.29%
1616	arimidex 1mg tablet	23, 67, 89, 27, 79	10.45%	24.06%	35.15%
1617	prednisone	23, 8, 78, 79, 49	14.43%	29.87%	41.27%
1618	olmetec 10mg tablet	23, 79, 49, 78, 16	14.35%	31.70%	40.45%
1619	beconase 50micrograms nasal spray	37, 23, 1, 49, 78	11.97%	25.89%	34.76%
1620	mesalazine	23, 59, 49, 39, 17	11.18%	23.44%	34.34%
1621	raloxifene hydrochloride	23, 78, 49, 79, 71	19.14%	34.01%	44.46%
1622	calfovit d3 powder for oral suspension	77, 23, 22, 71, 82	9.97%	22.99%	33.29%
1623	evista 60mg tablet	89, 23, 78, 35, 49	12.77%	29.12%	40.35%
1624	kalms tablet	23, 78, 49, 79, 82	15.96%	34.80%	42.25%
1625	estraderm mx 25 patch	23, 89, 8, 78, 1	7.79%	19.86%	30.81%
1626	kelp+garlic product	23, 89, 78, 49, 72	17.60%	32.48%	43.99%
1627	vitamin c product	23, 27, 49, 78, 1	11.86%	27.35%	38.85%
1628	Platelet count	72, 76, 19, 23, 11	33.82%	60.95%	66.22%
1629	seroxat 20mg tablet	23, 78, 79, 81, 49	17.14%	30.67%	40.07%
1630	spironolactone	23, 79, 1, 49, 78	14.28%	29.50%	39.98%
1631	bisoprolol fumarate+hydrochlorothiazide 10mg/6.25mg tablet	23, 79, 49, 1, 13	18.61%	39.24%	50.72%
1632	alphagan 0.2% eye drops	23, 78, 49, 67, 59	11.87%	26.70%	34.92%
1633	sildenafil	79, 23, 8, 49, 78	11.56%	27.12%	38.25%
1634	betnesol 0.1% eye/ear/nose drops	23, 49, 0, 78, 22	16.11%	30.13%	41.76%
1635	brimonidine tartrate	23, 82, 59, 67, 78	8.13%	19.67%	29.66%
1636	senokot 7.5mg tablet	23, 78, 22, 30, 49	17.91%	32.45%	42.94%
1637	loperamide	79, 8, 23, 82, 89	14.22%	31.30%	43.71%
1638	ipratropium	23, 79, 78, 89, 49	13.39%	30.17%	42.01%
1639	menophase tablet	89, 78, 23, 8, 27	9.69%	25.25%	38.03%
1640	arthrotec 50 tablet	23, 71, 78, 89, 49	19.12%	34.36%	45.10%
1641	Mean ISOVF in corticospinal tract on FA skeleton (left)	22, 23, 28, 14, 97	9.56%	23.02%	32.25%
1642	uniphyllin continus 200mg m/r tablet	89, 23, 78, 82, 49	14.06%	31.42%	42.88%
1643	morphine	23, 79, 8, 78, 49	16.00%	30.59%	40.51%
1644	vitamin e product	23, 49, 78, 16, 71	16.27%	33.92%	43.12%
1645	budesonide+formoterol	59, 22, 23, 35, 71	11.28%	23.88%	33.26%
1646	sertraline	23, 79, 89, 78, 49	18.71%	36.19%	44.30%
1647	cardura 1mg tablet	23, 8, 79, 30, 7	9.98%	22.93%	33.84%
1648	Age cataract diagnosed	67, 27, 23, 89, 64	8.51%	23.22%	34.77%
1649	climagest 1mg tablet	23, 22, 59, 35, 79	10.45%	24.82%	35.97%
1650	prozac 20mg capsule	23, 78, 89, 49, 71	11.48%	28.33%	40.65%
1651	dorzolamide	23, 78, 49, 79, 59	16.11%	31.30%	41.26%
1652	Age lung cancer (not mesothelioma) diagnosed by doctor	77, 71, 67, 23, 3	7.73%	20.62%	31.47%
1653	Weighted-mean OD in tract superior longitudinal fasciculus (left)	97, 0, 64, 89, 46	20.87%	42.60%	49.69%
1654	Weighted-mean OD in tract superior longitudinal fasciculus (right)	0, 97, 48, 46, 20	26.96%	46.72%	55.16%
1655	Weighted-mean OD in tract posterior thalamic radiation (right)	86, 59, 79, 89, 1	8.39%	22.04%	30.97%
1656	hydroxocobalamin	23, 59, 79, 71, 22	7.28%	16.93%	26.11%
1657	coaprovel 150mg/12.5mg tablet	23, 78, 49, 22, 59	13.04%	26.82%	37.74%
1658	imipramine	89, 23, 78, 49, 82	13.24%	35.43%	48.28%
1659	protium 20mg e/c tablet	23, 78, 49, 82, 79	15.57%	35.97%	44.72%
1660	Weighted-mean OD in tract inferior longitudinal fasciculus (left)	23, 97, 20, 0, 13	8.96%	25.75%	39.95%
1661	Speech-reception-threshold (SRT) estimate (left)	92, 73, 86, 39, 0	12.63%	28.06%	40.49%
1662	orlistat	23, 27, 38, 71, 79	9.85%	20.22%	29.40%
1663	xenical 120mg capsule	23, 79, 49, 81, 78	15.64%	34.42%	43.90%
1664	Arm fat mass (left)	23, 49, 22, 28, 50	48.14%	95.95%	96.98%
1665	bendrofluazide	23, 78, 49, 58, 43	13.72%	28.29%	35.79%
1666	amiodarone	61, 23, 79, 78, 71	21.60%	40.19%	51.27%
1667	bimatoprost	23, 78, 30, 79, 73	8.41%	19.63%	29.80%
1668	codeine	89, 23, 39, 78, 49	12.44%	26.29%	35.96%
1669	iron+folic acid	82, 27, 22, 23, 77	8.88%	22.03%	33.97%
1670	kliovance 1mg/0.5mg tablet	79, 8, 77, 82, 23	11.86%	30.15%	43.63%
1671	ortho-gynest 500micrograms pessary	23, 39, 71, 89, 73	12.03%	27.92%	36.96%
1672	tildiem 60mg m/r tablet	23, 78, 49, 39, 79	14.57%	28.63%	38.06%
1673	Mean rfMRI head motion, averaged across space and time points	17, 94, 38, 27, 77	9.35%	22.54%	31.73%
1674	Mean tfMRI head motion, averaged across space and time points	27, 23, 73, 94, 24	7.46%	18.42%	26.72%
1675	Weighted-mean L2 in tract uncinate fasciculus (left)	14, 20, 57, 27, 92	75.32%	87.36%	90.89%
1676	Weighted-mean L2 in tract superior thalamic radiation (right)	46, 0, 97, 14, 81	47.15%	83.16%	88.33%
1677	phyllocontin continus 225mg m/r tablet	23, 78, 22, 7, 0	15.45%	27.90%	35.22%
1678	hydroxycarbamide	23, 78, 49, 89, 16	15.43%	30.06%	37.95%
1679	Weighted-mean L1 in tract forceps minor	97, 46, 64, 0, 20	21.12%	52.01%	77.66%
1680	calcichew 1.25g chewable tablet	23, 79, 72, 49, 78	12.72%	32.00%	43.75%
1681	Weighted-mean L1 in tract inferior longitudinal fasciculus (right)	57, 97, 14, 81, 0	44.44%	73.83%	83.50%
1682	bisoprolol	61, 8, 10, 64, 83	11.31%	28.06%	40.29%
1683	strontium product	59, 23, 89, 78, 67	7.57%	19.78%	30.80%
1684	celiprolol	23, 82, 78, 30, 77	13.64%	26.15%	37.05%
1685	coracten sr 10mg m/r capsule	23, 8, 79, 78, 49	13.08%	28.90%	39.52%
1686	lactulose product	27, 23, 78, 39, 49	13.10%	28.97%	41.13%
1687	Volume of grey matter in Cingulate Gyrus, posterior division (right)	48, 18, 68, 20, 75	58.37%	66.79%	72.80%
1688	Volume of grey matter in Frontal Orbital Cortex (right)	48, 23, 89, 78, 92	81.20%	84.78%	86.72%
1689	losec 10mg capsule	23, 79, 71, 78, 49	14.93%	29.17%	37.95%
1690	triamcinolone	23, 78, 49, 16, 41	18.91%	41.31%	47.98%
1691	tetracycline	82, 67, 89, 30, 59	6.04%	16.98%	26.95%
1692	dovobet ointment	23, 39, 89, 11, 20	8.89%	20.88%	31.03%
1693	seretide 50 evohaler	37, 72, 39, 51, 79	51.52%	69.04%	74.71%
1694	evorel conti patch	23, 27, 78, 79, 49	15.12%	28.85%	39.19%
1695	vitamin b compound tablet	23, 78, 81, 8, 49	13.05%	26.41%	36.81%
1696	combivent inhaler	23, 78, 49, 77, 11	15.98%	38.03%	45.07%
1697	maxalt 5mg tablet	23, 79, 49, 27, 82	9.48%	24.92%	36.69%
1698	angitil sr 90 m/r capsule	23, 49, 78, 79, 27	19.08%	35.26%	46.23%
1699	vitamin b1 preparation	23, 78, 89, 49, 73	14.16%	33.75%	43.59%
1700	thyroxine sodium	58, 83, 23, 80, 49	35.15%	50.43%	56.78%
1701	vitamin b6 preparation	23, 48, 78, 79, 89	13.38%	29.32%	42.36%
1702	temazepam	27, 23, 78, 79, 71	8.75%	24.30%	36.67%
1703	tegretol 100mg tablet	23, 79, 78, 27, 49	12.11%	27.31%	37.02%
1704	eumovate cream	23, 78, 16, 77, 71	12.69%	28.46%	41.03%
1705	flixotide 25micrograms inhaler	39, 59, 23, 89, 71	10.41%	24.05%	36.45%
1706	zirtek allergy 10mg tablet	23, 77, 82, 78, 27	10.68%	26.97%	37.14%
1707	Mean ISOVF in fornix on FA skeleton	72, 38, 86, 54, 11	13.86%	28.74%	36.93%
1708	Mean ISOVF in body of corpus callosum on FA skeleton	0, 97, 14, 46, 23	26.18%	55.30%	62.95%
1709	flecainide	61, 23, 78, 49, 79	42.32%	53.88%	60.15%
1710	Mean ICVF in superior corona radiata on FA skeleton (right)	81, 97, 14, 57, 46	85.89%	96.10%	97.13%
1711	Mean ICVF in anterior corona radiata on FA skeleton (right)	81, 97, 46, 1, 67	89.39%	96.68%	97.33%
1712	rennie duo oral suspension	23, 78, 27, 73, 72	13.04%	30.23%	44.04%
1713	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (left)	81, 57, 14, 0, 20	85.31%	96.59%	97.12%
1714	timoptol 0.25% eye drops	79, 23, 49, 77, 22	13.97%	34.12%	43.56%
1715	Mean ISOVF in medial lemniscus on FA skeleton (right)	38, 72, 39, 14, 23	24.86%	43.47%	53.74%
1716	Ever attempted suicide	89, 86, 79, 2, 23	21.77%	40.93%	49.99%
1717	ferrous salt product	23, 78, 49, 85, 89	19.99%	39.39%	47.55%
1718	paroxetine	23, 78, 49, 79, 68	22.62%	39.78%	51.29%
1719	opticrom allergy eye drops	23, 78, 89, 49, 79	15.84%	31.79%	42.87%
1720	Weighted-mean FA in tract superior longitudinal fasciculus (left)	46, 57, 97, 81, 0	52.49%	84.54%	92.27%
1721	vascalpha 5mg m/r tablet	23, 30, 78, 82, 27	11.61%	24.15%	34.14%
1722	esomeprazole	27, 39, 23, 38, 71	8.93%	24.30%	36.43%
1723	lacidipine	23, 89, 39, 78, 27	11.01%	30.11%	41.42%
1724	prednisolone	27, 23, 78, 73, 71	15.02%	29.05%	37.77%
1725	cyclizine	23, 78, 49, 16, 41	19.37%	40.12%	49.63%
1726	desloratadine	23, 67, 78, 81, 71	14.36%	26.12%	36.37%
1727	glyceryl trinitrate product	22, 23, 79, 28, 59	7.63%	19.53%	29.11%
1728	irbesartan+hydrochlorothiazide 150mg/12.5mg tablet	23, 59, 78, 22, 49	10.80%	25.05%	35.68%
1729	lofepramine	23, 27, 78, 79, 30	18.43%	32.47%	42.40%
1730	Weighted-mean L2 in tract uncinate fasciculus (right)	14, 57, 97, 46, 81	71.03%	82.95%	87.39%
1731	buprenorphine	23, 49, 79, 78, 27	13.29%	31.12%	43.68%
1732	rosuvastatin	72, 20, 92, 10, 32	17.07%	35.72%	50.35%
1733	phenobarbitone	23, 49, 78, 79, 22	17.54%	34.31%	45.87%
1734	logMAR, initial (left)	92, 80, 59, 1, 98	67.25%	85.54%	89.29%
1735	crestor 10mg tablet	23, 79, 1, 49, 38	12.21%	27.88%	37.50%
1736	keppra 250mg tablet	82, 23, 77, 30, 32	9.01%	23.55%	36.07%
1737	dosulepin	23, 78, 49, 79, 1	16.86%	32.29%	42.36%
1738	vitamin a	23, 78, 79, 49, 16	19.37%	37.02%	49.74%
1739	neoclarityn 5mg tablet	89, 23, 78, 39, 20	16.63%	33.06%	43.87%
1740	digoxin	61, 72, 8, 23, 79	75.00%	79.05%	82.24%
1741	pioglitazone	27, 67, 79, 23, 49	11.55%	26.54%	36.12%
1742	anadin tablet	23, 79, 78, 35, 22	15.05%	28.01%	35.48%
1743	avodart 500micrograms capsule	82, 23, 30, 77, 25	12.63%	28.05%	40.78%
1744	slozem 120mg m/r capsule	23, 78, 49, 77, 73	16.33%	34.12%	41.93%
1745	tramadol	6, 49, 78, 7, 94	22.57%	32.53%	41.71%
1746	fosamax 5mg tablet	23, 78, 79, 49, 39	20.22%	33.12%	44.51%
1747	cetirizine	23, 37, 39, 78, 83	12.52%	30.98%	41.70%
1748	gabapentin	23, 78, 49, 71, 79	16.06%	32.96%	41.89%
1749	finasteride	23, 89, 78, 39, 38	10.18%	27.07%	39.77%
1750	folic acid product	72, 58, 83, 23, 39	11.49%	32.85%	45.13%
1751	adcal 600mg chewable tablet	23, 79, 78, 27, 7	9.23%	26.71%	36.20%
1752	fluoxetine	79, 23, 78, 49, 54	10.37%	27.78%	38.31%
1753	clonidine	23, 89, 78, 39, 73	9.82%	22.97%	33.48%
1754	clomipramine	23, 78, 79, 73, 49	19.92%	36.03%	44.97%
1755	diazepam	23, 89, 78, 27, 79	11.45%	28.34%	39.28%
1756	phenoxymethylpenicillin	82, 67, 59, 30, 89	6.07%	17.89%	28.39%
1757	dothiepin	23, 78, 49, 85, 81	16.85%	39.80%	46.23%
1758	calcipotriol	23, 82, 79, 49, 27	9.36%	23.38%	33.13%
1759	indoramin	59, 22, 23, 67, 78	8.77%	20.75%	30.37%
1760	etodolac	23, 78, 89, 49, 0	15.82%	32.18%	43.84%
1761	enalapril maleate+hydrochlorothiazide 20mg/12.5mg tablet	23, 78, 49, 41, 81	23.09%	47.91%	56.50%
1762	elocon cream	23, 79, 49, 78, 81	20.87%	38.16%	47.58%
1763	nasobec aqueous 50micrograms nasal spray	23, 78, 22, 0, 49	13.94%	32.06%	40.18%
1764	cimetidine	23, 8, 79, 2, 38	8.89%	24.41%	35.56%
1765	flucloxacillin	23, 78, 73, 49, 41	14.33%	34.69%	43.24%
1766	magnesium citrate	23, 27, 78, 22, 49	13.78%	28.61%	39.13%
1767	fluticasone	89, 23, 72, 86, 49	9.75%	27.04%	37.23%
1768	nitromin 400micrograms cfc-free spray	23, 78, 49, 79, 16	22.96%	46.89%	58.13%
1769	lodine 200mg tablet	78, 23, 89, 73, 49	8.03%	23.32%	34.55%
1770	berocca effervescent tablet	82, 23, 30, 89, 49	10.87%	23.77%	34.11%
1771	oilatum cream	23, 89, 78, 27, 82	11.78%	30.13%	44.35%
1772	rino clenil 50micrograms nasal spray	23, 78, 49, 79, 1	14.15%	26.04%	35.19%
